Matrícula,Avaliação_1,Avaliação_2,Trabalho,Media_Parcial,Res._Parcial,Final,Media_Final,Res._Final
1763571,,,,,,,,
2004887,,,,,,,,
1866710,,,,,,,,
2004429,,,,,,,,
2004895,,,,,,,,
2004461,,,,,,,,
2004917,,,,,,,,
1866761,,,,,,,,
2004550,,,,,,,,
2004569,,,,,,,,
2004933,,,,,,,,
2004941,,,,,,,,
2004585,,,,,,,,
1763342,,,,,,,,
2004836,,,,,,,,
2004623,,,,,,,,
